Case Number,Nature of Offense,Date/Time Occurred,Date Reported,Incident Location,Disposition
UM 24-052696,Recovered Vehicle,02/29/2024 1456,02/29/24,183 Arlington St,Inactive
UM 24-052768,Trespas,02/29/2024 1611,02/29/24,615 Washington Ave SE,Inactive
UM 24-052843,Recovered Property,02/29/2024 1727,02/29/24,150 26th Ave SE,Closed
UM 24-052856,Flee Police in Motor Vehicle,02/29/2024 1735,02/29/24,6th Ave SE / 6th St SE,Inactive
UM 24-052861,Theft,02/29/2024 1630,02/29/24,Pleasant St SE / Pillsbury Dr SE,Inactive
UM 24-053057,Damage to Motor Vehicle,02/29/2024 1800,02/29/24,400 21st Ave S,Inactive
UM 24-052222,Warrant,02/28/2024 0011,02/29/24,2001 Bloomington Ave,Closed - Arrest
UM 24-051719,Theft from Building,02/22/2024 1700,02/28/24,516 15th Ave SE,CARLSON
UM 24-051820,Damage to Property,02/28/2024 1337,02/28/24,321 19th Ave S,Closed
UM 24-051914,Trespass,02/28/2024 1646,02/28/24,615 Washington Ave SE,Closed
UM 24-052131,Hit/Run Property Damage,02/28/2024 2145,02/28/24,1900 Blk 4th St SE,CARLSON
MP 24-48446,Assault,2/24/2024 16:25,02/28/24,2459 Riverside Ave S,MPD
MP 24-51198,Auto Theft,2/26/2024 9:00,02/28/24,University Ave SE & 25th Ave SE,MPD
MP 24-50583,Hit and Run-Property Damage,2/26/2024 21:40,02/28/24,29th Ave SE & 4th St SE,MPD
UM 24-051115,Theft from Building,02/27/2024 1325,02/27/24,300 Washinton Ave SE,Inactive
UM 24-051146,Mysterious Disappearance,02/26/2024 1609,02/27/24,271 19th Ave S,FARRAR
UM 24-050758,Trespass,02/27/2024 0538,02/27/24,300 Washington Ave SE,Closed
UM 24-049715,Burglary of Business,02/25/2024 2240,02/26/24,29th Ave SE / Como Ave SE,CARLSON
UM 24-049749,Parking Violation,02/26/2024 0840,02/26/24,1502 5th St SE,Closed
UM 24-049847,Trespass,02/26/2024 1024,02/26/24,615 Washington Ave SE,Closed - Arrest
UM 24-049956,Theft,02/26/2024 1220,02/26/24,200 Union St SE,Inactive
UM 24-049974,Auto Theft,02/26/2024 1325,02/26/24,2301 6th St SE,Inactive
UM 24-050480,Recovered Property,02/26/2024 1920,02/26/24,4th St SE / NB !35W to 4th St SE,Closed
UM 24-050496,Warrant,02/26/2024 1930,02/26/24,615 Washington Ave SE,Closed
UM 24-049637,Trespass,02/26/2024 0218,02/26/24,615 Washington Ave SE,Closed
UM 24-048863,Driving While Intoxicated / Driving After,02/25/2024 0245,02/25/24,Washington Ave SE / Delware St,THOMAS
,Revocation,,SE,
UM 24-049134,Theft from Building / Credit Card/ATM Fraud,02/25/2024 1218,02/25/24,516 Delaware St SE,THOMAS
UM 24-049284,Trespass,02/25/2024 1638,02/25/24,89 Church St SE,Closed - Cited
UM 24-046781,Recovered Property,02/22/2024 2332,02/24/24,321 19th Ave S,Closed
UM 24-048172,No Valid Driver's License,02/24/2024 1248,02/24/24,25th Ave SE / 4th St SE,Closed - Cited
UM 24-048236,Damage to Property,02/24/2024 0140,02/24/24,1300 2nd St S,FARRAR
UM 24-048280,Health Welfare Hold,02/24/2024 1456,02/24/24,659 Delaware St SE,Closed
UM 24-048413,Theft From Buildilng,02/24/2024 1700,02/24/24,515 Delaware St SE,THOMAS
UM 24-048425,Burglary of Business,02/24/2024 1725,02/24/24,615 Washington Ave SE,CARLSON
UM 24-048551,Driving After Revocation,02/24/2024 1944,02/24/24,4th St SE / 16th Ave SE,Closed - Cited
UM 24-048605,Health Welfare Hold,02/24/2024 2041,02/24/24,551 Washington Ave SE,Closed
UM 24-048646,Discharge Weapon,02/24/2024 2143,02/24/24,1122 University Ave SE,THOMAS
UM 24-047174,Theft from Building / Credit Card/ATM Fraud,02/22/2024 1430,02/23/24,225 19th Ave S,FARRAR
UM 24-047400,Damage to Motor Vehicle / Motor Vehicle,02/23/2024 1719,02/23/24,401 Oak St SE,THOMAS
,Accident Damage Report,,
UM 24-047403,Recovered Vehicle,02/23/2024 1725,02/23/24,500 Pillsbury Dr SE,Closed
UM 24-047490,Assault,02/23/2024 1838,02/23/24,615 Washington Ave SE,CARLSON
UM 24-047771,Warrant,02/23/2024 2343,02/23/24,Cedar Ave S / 4th St S,Closed - Arrest
UM 24-046668,Theft,02/22/2024 1800,02/22/24,1925 University Ave SE,Inactive
UM 24-046632,Driving After Revocation,02/22/2024 2037,02/23/24,Oak St SE / 4th St SE,Closed - Cited
UM 24-046776,Flee Officer on Foot / Warrant,02/22/2024 2328,02/23/24,3rd St S / Cedar Ave S,FARRAR
UM 24-045862,Miscellaneous,02/22/2024 0319,02/22/24,140 Harvard St SE,Closed
UM 24-046032,Theft from Building,02/22/2024 0515,02/22/24,269 19th Ave S,FARRAR
UM 24-046379,Trespass / Obstruct Legal Process / Warrant,02/22/2024 1610,02/22/24,1365 Gortner Ave,Closed - Arrest
UM 24-046737,Driving After Suspension,02/22/2024 2244,02/22/24,516 15th Ave SE,Closed - Cited
UM 24-045718,Driving After Revocation,02/21/2024 2244,02/22/24,Franklin Ave / University Ave W,Closed - Cited
UM 24-045732,Flee Officer in Motor Vehicle,02/21/2024 2255,02/22/24,University Ave SE / Malcolm Ave,Closed
,,SE,
UM 24-045379,Damage to Motor Vehicle,02/21/2024 0835,02/21/24,1808 4th St SE,Inactive
UM 24-044250,Miscellaneous,02/20/2024 1337,02/20/24,505 Washington Ave SE,Closed
UM 24-043482,Theft from Motor Vehicle / Tamper with Motor,02/18/2024 1830,02/19/24,400 21st Ave S,Inactive
,Vehicle,,
MP 24-701859,Hit and Run-Property Damage,2/14/2024 15:35,02/20/24,Huron Blvd SE & Fulton St SE,MPD
UM 24-043389,Recovered Vehicle,02/18/2024 0825,02/19/24,269 19th Ave S,Closed
UM 24-043407,Theft from Motor Vehicle / Tamper with Motor,02/19/2024 0703,02/19/24,615 Washington Ave SE,CARLSON
,Vehicle,,
UM 24-043856,Theft From Motor Vehicle,02/19/2024 2046,02/19/24,501 Washington Ave SE,Inactive
UM 24-043894,Criminal Sexual Conduct - Rape,02/09/2024 1830,02/19/24,614 Delaware St SE,FARRAR
UM 24-042598,Hit/Run Property Damage,02/18/2024 0237,02/18/24,210 Delaware St SE,HUCK
UM 24-041652,Hit/Run Property Damage,02/17/2024 0000,02/17/24,601 Delaware St SE,THOMAS
UM 24-041864,Public Urination,02/17/2024 0925,02/17/24,275 Cedar Av S,Closed - Cited
UM 24-041965,Trespass,02/17/2024 1218,02/17/24,615 Washington Ave SE,Closed - Arrest
UM 24-042092,Theft from Building,02/17/2024 1600,02/17/24,615 Washington Ave SE,CARLSON
UM 24-041182,Burglary of Business,02/16/2024 1523,02/16/24,300 Washington Ave SE,THOMAS
UM 24-040038,Theft,02/15/2024 1015,02/15/24,123 Harvard St SE,CARLSON
UM 24-040358,Cancelled-IPS,02/15/2024 1718,02/15/24,7th St S / 25th Ave S,Closed - Arrest
UM 24-040250,Non-Vehicular Accident,02/15/2024 1518,02/15/24,515 Delaware St SE,Closed
UM 24-040477,Auto Theft,02/15/2024 1931,02/15/24,1122 University Ave SE,HUCK
UM 24-040599,Crisis Intervention,02/15/2024 2214,02/15/24,615 Fulton St SE,Closed
UM 24-039735,False Name / Warrant,02/14/2024 2254,02/15/24,275 Cedar Av S,Closed - Arrest
UM 24-038989,Miscellaneous,02/14/2024 0958,02/14/24,2901 Talmage Ave SE,CARLSON
UM 24-039303,Terroristic Threats,02/14/2024 1000,02/14/24,2001 Bloomington Ave,HUCK
UM 24-039476,Trespass,02/14/2024 1700,02/14/24,207 Church St SE,Closed - Cited
UM 24-038372,Theft from Building,02/13/2024 1530,02/13/24,300 Washington Ave SE,Inactive
UM 24-038395,Recovered Property,02/13/2024 1615,02/13/24,390 29th Ave SE,Closed
UM 24-038596,Health Welfare Hold,02/13/2024 1939,02/13/24,615 Washington Ave SE,Closed
UM 24-037908,Driving While Intoxicated,02/13/2024 0057,02/13/24,Washington Ave SE / Delaware St,THOMAS
,,SE,
UM 24-037103,Health Welfare Hold,02/12/2024 0527,02/12/24,1 Washington Ave SE,Closed
UM 24-037141,Burglary of Business,02/11/2024 1835,02/12/24,29th Ave SE / Como Ave SE,THOMAS
UM 24-037127,Trespass,02/12/2024 0708,02/12/24,89 Church St SE,Closed - Cited
UM 24-037480,Bike Theft,02/07/2024 1600,02/12/24,200 Union St SE,Inactive
UM 24-037611,Theft from Buildling,02/09/2024 2349,02/12/24,614 Delaware St SE,Inactive
MP 24-35442,Assault,2/10/2024 2:11,02/10/24,320 Cedar Ave S,MPD
MP 24-701538,Theft from Motor Vehicle,2/7/2024 11:08,02/13/24,308 Harvard St SE,MPD
MP 24-37004,Theft from Motor Vehicle,2/11/2024 23:12,02/13/24,University Ave SE & 25th Ave SE,MPD
MP 24-33282,Auto Theft,2/7/2024 20:26,02/13/24,1821 University Ave SE,MPD
MP 24-701598,Damage to Motor Vehicle,2/9/2024 0:00,02/13/24,5th St SE & 11th Ave SE,MPD
UM 24-037025,Warrant,02/12/2024 00045,02/12/24,University Ave SE / 17th Ave SE,Closed - Arrest
UM 24-036502,Damage to Motor Vehicle,02/08/2024 1500,02/11/24,2067 Dudley Ave,Inactive
UM 24-036575,Damage to Property,02/11/2024 0100,02/11/24,417 Walnut St SE,Inactive
UM 24-036693,Theft from Motor Vehicle,02/05/2024 0800,02/11/24,2067 Dudley Ave,Inactive
UM 24-035300,Warrant,02/09/2024 2301,02/10/24,275 Cedar Ave S,Closed - Arrest
UM 24-034702,Recovered Vehicle,02/09/2024 1237,02/09/24,2001 University Ave SE,Closed
UM 24-034874,Warrant,02/09/2024 1524,02/09/24,390 29th Ave SE,LAPP
UM 24-034881,Theft from Building,02/08/2024 1530,02/09/24,1122 University ave SE,Inactive
UM 24-034923,Theft of Motor Vehicle Parts,02/09/2024 0725,02/09/24,120 21st Ave S,Inactive
UM 24-035134,Driving After Revocation,02/09/2024 2004,02/09/24,Oak St SE / Washington Ave SE,Closed - Cited
UM 24-035250,Driving After Suspension,02/09/2024 2202,02/09/24,4th St SE / 16th Ave SE,Closed - Cited
UM 24-033598,Theft from Building,02/06/2024 1600,02/08/24,321 19th Ave S,FARRAR
UM 24-033725,Possession of Stolen Firearm / Unlawful,02/08/2024 1110,02/08/24,500 Harvard St SE,FARRAR
,Possession of Firearm / Narcotics Violation /,,
,Violaton of Protection Order / Warrant,,
UM 24-033973,Theft from Motor Vehicle,02/08/2024 1500,02/08/24,883 29th Ave SE,Inactive
UM 24-033091,Trespass,02/07/2024 1648,02/07/24,111 Church St SE,Closed - Cited
UM 24-032701,Theft from Building,02/05/2024 1650,02/07/24,300 Washington Ave SE,Inactive
UM 24-032716,Health Welfare Hold / Use of Force,02/07/2024 0845,02/07/24,909 Fulton St SE,Closed
UM 24-032749,Damage to Property,01/19/2024 0000,02/07/24,2030 Unviersity Ave SE,Closed
UM 24-032948,Burglary of Business,02/07/2024 0000,02/07/24,600 Main St SE,Inactive
UM 24-032950,Warrant,02/07/2024 1350,02/07/24,880 Washington Ave SE,Closed
UM 24-031991,Crisis Intervention,02/06/2024 1239,02/06/24,412 22nd ave,Closed
UM 24-031452,Assault,02/05/2024 1915,02/05/24,615 Washington Ave SE,Closed
MP 24-701426,Hit and Run-Property Damage,2/3/2024 12:30,02/06/24,2010 6th St SE,MPD
UM 24-029813,Driving After Revocation / No Insurance,02/04/2024 0108,02/04/24,4th St SE / 13th Ave SE,Closed - Cited
UM 24-030196,Unsecure Business,02/04/2024 0746,02/04/24,901 29th Ave SE,Closed
UM 24-030245,Theft by Swindle,01/24/2024 1800,02/04/24,2508 Delaware St SE,Inactive
UM 24-030390,Harras,12/18/2023 0000,02/04/24,412 22nd Ave S,HUCK
UM 24-029200,Mysterious Disappearance,02/03/2024 0000,02/03/24,412 14th Ave SE,Closed
UM 24-029547,Narcotic Violations / Trespass / Crisis,02/03/2024 1944,02/03/24,1625 4th St SE,CARLSON
,Intervention,,,
UM 24-029601,Careless Driving / No Insurance,02/03/2024 2036,02/03/24,14th Ave SE / 4th St SE,Closed - Cited
UM 24-028024,Miscellaneous,01/01/2024 0000,02/02/24,300 Washington Ave SE,Closed
UM 24-028323,Credit Card/ATM Fraud,02/02/2024 1200,02/02/24,505 Washington Ave SE,Inactive
UM 24-028409,Motor Vehicle Accident Damage Report,02/02/2024 1811,02/02/24,1925 University Ave SE,Closed
UM 24-026985,Hit/Run Property Damage,01/31/2024 0630,02/01/24,385 River Pkwy E,Inactive
UM 24-027161,Warrant,02/01/2024 1215,02/01/24,300 Washington Ave SE,Closed - Arrest
UM 24-027513,Trespass,02/01/2024 1853,02/01/24,117 Pleasant St SE,Closed
UM 24-026134,Criminal Sexual Conduct - Rape,08/07/2023 2200,01/31/24,128 Pleasant St SE,FARRAR
UM 24-026090,Bike Theft,01/26/2024 0830,01/31/24,1025 29th Ave SE,Inactive
UM 24-026118,Damage to Property,12/01/2023 1700,01/31/24,27 Pleasant St SE,Inactive
UM 24-026127,Damage to Property,01/17/2024 1200,01/31/24,225 Pleasant St SE,Inactive
UM 24-026199,Bike Theft,01/31/2024 0650,01/31/24,123 Harvard St SE,Inactive
UM 24-026429,Auto Theft,01/31/2024 1602,01/31/24,2301 6th St SE,CARLSON
UM 24-026569,Narcotics Violation / False Name / Warrant,01/31/2024 1808,01/31/24,Oak St SE / 6th St SE,THOMAS
UM 24-026780,Bike Theft,01/31/2024 0915,01/31/24,2231 6th St SE,CARLSON
UM 24-026783,Crisis Intervention,01/31/2024 2219,01/31/24,1 Washington Ave SE,Closed
UM 24-025830,Damage to Property,01/30/2024 1530,01/31/24,2535 4th St SE,Inactive
UM 24-025409,Damage to Property,01/29/2024 1900,01/30/24,689 23rd Ave SE,CARLSON
UM 24-025481,Warrant,01/30/2024 1527,01/30/24,275 Cedar Ave S,Closed
UM 24-025546,Warrant,01/30/2024 1639,01/30/24,275 Cedar Ave S,Closed - Arrest
UM 24-025656,Narcotic Violation / Warrant,01/30/2024 1821,01/30/24,275 Cedar Ave S,FARRAR
MP 24-700868,Hit and Run-Property Damage,1/23/2024 13:33,02/01/24,Fulton St SE & Oak St SE,MPD
MP 24-23681,Theft of Motor Vehicle Parts,1/27/2024 12:00,02/01/24,14th Ave SE & 7th St SE,MPD
MP 24-18402,Theft of Motor Vehicle Parts,1/22/2024 20:45,02/01/24,1625 4th St SE,MPD
UM 24-024562,Assault,01/29/2024 1430,01/29/24,909 Fulton St SE,THOMAS
UM 24-024622,Runaway,01/29/2024 1540,01/29/24,515 Delaware St SE,THOMAS
UM 24-023754,Theft from Person,01/28/2024 1546,01/28/24,880 Washington Ave SE,THOMAS
UM 24-023417,Burglary of Business,01/26/2024 1200,01/28/24,106 Pleasant St,Inactive
UM 24-023718,Warrant,01/28/2024 1521,01/28/24,89 Church St SE,Closed - Arrest
UM 24-023983,Driving After Revocation,01/28/2024 2155,01/28/24,19th Ave S / Riverside Ave,Closed - Cited
UM 24-023999,Driving After Revocation,01/28/2024 2213,01/28/24,24th Ave S / Riverside Ave,Closed - Cited
UM 24-024007,Narcotic Violation / Assist Other Agency,01/28/2024 2219,01/28/24,505 Washington Ave SE,Closed
UM 24-022312,Driving While Intoxicated / No Valid Driver's,01/27/2024 0223,01/27/24,Pillsbury Dr SE / Pleasant St SE,Closed by Complaint
,License,,
UM 24-022364,Health Welfare Hold / Crisis Intervention,01/27/2024 0400,01/27/24,701 Fulton St SE,Closed
UM 24-022405,Warrant,01/27/2024 0645,01/27/24,551 Washington Ave SE,Closed - Arrest
UM 24-022720,Driving After Revocation,01/27/2024 1543,01/27/24,University Ave W / Raymond Ave,Closed - Cited
UM 24-022831,Driving After Suspension,01/27/2024 1722,01/27/24,29th Ave SE / Como Ave SE,Closed - Cited
UM 24-022860,False Info / Flee Officer on Foot / Obstruct,01/27/2024 1741,01/27/24,551 Washington Ave SE,Closed by Complaint
,Legal Process / Warrant,,
UM 24-021357,Burglary of Business,01/25/2024 1030,01/26/24,257 19th Ave S,Inactive
UM 24-021512,Burglary of Business,01/17/2024 1200,01/26/24,225 Pleasant St SE,Inactive
UM 24-021572,Theft from Building,01/26/2024 1300,01/26/24,417 Walnut St SE,Inactive
UM 24-021593,Auto Theft,01/26/2024 1203,01/26/24,401 Oak St SE,Inactive
UM 24-021684,Trespass,01/26/2024 1600,01/26/24,10th Ave SE / 2nd St SE,Closed
UM 24-021739,Trespass / False Name / Health Welfare Hold,01/26/2024 1654,01/26/24,615 Washington Ave SE,Closed - Cited
UM 24-021167,Driving While Intoxicated / Motor Vehicle,01/26/2024 0151,01/26/24,Washington Ave SE / Oak St SE,LAPP
,Accident Damage Report,,
UM 24-020384,Warrant / Health Welfare Hold,01/25/2024 0841,01/25/24,227 Oak St SE,Closed - Arrest
UM 24-020430,Theft by Swindle,01/24/2024 1030,01/25/24,1002 27th Ave SE,Closed
UM 24-020543,Theft,01/25/2024 0945,01/25/24,159 Pillsbury Dr SE,CARLSON
UM 24-020580,Trespass,01/25/2024 1324,01/25/24,110 Union St SE,Closed - Cited
UM 24-020719,Driving After Suspension,01/25/2024 1630,01/25/24,19th Ave S / 2nd St S,Closed - Cited
UM 24-020732,Recovered Vehicle,01/25/2024 1640,01/25/24,30th Ave SE / Transitway,Closed
UM 24-020740,Warrant,01/25/2024 1649,01/25/24,300 19th Ave S,Closed - Arrest
UM 24-020759,Theft from Building,01/25/2024 1400,01/25/24,300 Washington Ave SE,THOMAS
UM 24-020864,Recovered Vehicle,01/25/2024 1851,01/25/24,2700 University Ave SE,CARLSON
UM 24-020963,Hit/Run Property Damage,01/25/2024 2121,01/25/24,385 River Pkwy E,Closed
UM 24-020095,Driving After Revocation / No Insurance,01/24/2024 2042,01/25/24,14th Ave SE / 4th St SE,Closed - Cited
UM 24-019537,Theft,01/23/2024 1716,01/24/24,300 19th Ave S,Closed
UM 24-019627,Theft from Building,01/19/2024 1100,01/24/24,297 19th Ave S,THOMAS
UM 24-019656,Theft from Building / Recovered Property /,01/24/2024 1015,01/24/24,604 Washington Ave SE,FARRAR
,Narcotics Violation / Warrant,,
UM 24-019660,Miscellaneous,01/18/2024 0134,01/24/24,701 Fulton St SE,HUCK
UM 24-019739,Mysterious Disappearance,01/18/2024 1500,01/24/24,117 Pleasant St SE,CARLSON
UM 24-019763,Theft From Building,01/18/2024 1900,01/24/24,330 21st Ave S,Inactive
UM 24-020189,Assault / Narcotics Violation,01/24/2024 2250,01/24/24,Cedar Ave S to Washington Ave /,FARRAR
,,3rd St S,
UM 24-019308,Trespass,01/23/2024 2200,01/23/24,301 19th Ave S,Closed
UM 24-018772,Motor Vehicle Accident Injury Report,01/23/2024 1112,01/23/24,University Ave SE / 17th Ave SE,Closed
